ID;Device;Day;Time;Amount;Status
117677626;Speaker;2022-04-10;15:41:05;2998;Active
735331678;Other;2022-04-09;09:02:58;2996;Active
28507305;Computer;2022-04-12;12:40:35;2994;Active
542494137;Phone;2022-04-18;11:49:04;2993;Active
276942355;TV;2022-04-08;09:26:16;2991;Active
416694400;Computer;2022-04-29;12:39:58;2981;Active
940523431;Computer;2022-04-27;10:11:01;2980;Active
880301676;Other;2022-04-08;11:21:28;2979;Active
11242217;Speaker;2022-04-13;15:12:43;2974;Active
848591855;Phone;2022-04-07;22:35:14;2973;Active
589775841;TV;2022-04-04;12:23:57;2972;Active
719249767;Phone;2022-04-12;12:03:25;2965;Active
778431583;Phone;2022-04-14;13:19:46;2963;Active
830021563;Speaker;2022-04-06;09:53:59;2961;Active
50047024;Computer;2022-04-28;16:55:46;2959;Active
732631049;Other;2022-04-19;11:13:54;2957;Active
927590730;Other;2022-04-29;21:45:18;2957;Active
780694729;Phone;2022-04-03;21:26:34;2954;Active
238240769;Computer;2022-04-26;13:51:25;2951;Active
115334099;Computer;2022-04-28;22:29:48;2950;Active
35894626;Phone;2022-04-28;20:11:19;2948;Active
947324922;Speaker;2022-04-12;11:06:11;2947;Active
465565723;TV;2022-04-13;17:40:23;2947;Active
948946493;Speaker;2022-04-14;23:58:06;2944;Active
589970778;Speaker;2022-04-28;13:26:09;2942;Active
8351373;Speaker;2022-04-07;13:02:12;2940;Active
946116858;Speaker;2022-04-11;21:27:19;2940;Active
742808172;TV;2022-04-19;10:52:22;2939;Active
533282786;TV;2022-04-24;10:29:55;2938;Active
180256185;Phone;2022-04-10;12:03:48;2935;Active
535811651;Speaker;2022-04-05;10:48:16;2933;Active
355377824;Speaker;2022-04-08;21:40:38;2933;Active
61339531;Computer;2022-04-24;23:38:24;2920;Active
784694823;TV;2022-04-13;07:23:58;2919;Active
127919561;Speaker;2022-04-14;10:48:27;2919;Active
398331695;TV;2022-04-22;21:16:24;2915;Active
844124209;Phone;2022-04-11;23:06:09;2911;Active
839342470;Other;2022-04-26;13:07:26;2906;Active
851500629;Other;2022-04-07;06:58:27;2904;Active
718429650;Speaker;2022-04-20;10:48:34;2903;Active
196204228;Phone;2022-04-27;11:27:53;2903;Active
461553710;Phone;2022-04-02;10:31:51;2897;Active
606600617;Other;2022-04-13;08:49:51;2894;Active
921616000;Speaker;2022-04-13;11:29:51;2892;Active
